id;timestamp;value;meter_port_id;created;last_modified
83170177;2015-09-21 02:58:19.506+02;30252000;30;2015-09-21 02:58:19.556021+02;2015-09-21 02:58:19.556055+02
83170197;2015-09-21 02:58:31.024+02;7000;29;2015-09-21 02:58:31.097342+02;2015-09-21 02:58:31.097375+02
83170199;2015-09-21 02:58:31.361+02;703000;25;2015-09-21 02:58:31.455977+02;2015-09-21 02:58:31.456011+02
83170198;2015-09-21 02:58:31.361+02;46428915000;24;2015-09-21 02:58:31.407031+02;2015-09-21 02:58:31.407065+02
83170206;2015-09-21 02:58:39.505+02;25000;31;2015-09-21 02:58:39.627272+02;2015-09-21 02:58:39.627304+02
83170205;2015-09-21 02:58:39.505+02;30252000;30;2015-09-21 02:58:39.564922+02;2015-09-21 02:58:39.56497+02
83170227;2015-09-21 02:58:51.023+02;137516000;28;2015-09-21 02:58:51.062575+02;2015-09-21 02:58:51.062608+02
83170244;2015-09-21 02:58:59.515+02;30252000;30;2015-09-21 02:58:59.60176+02;2015-09-21 02:58:59.601792+02
83170268;2015-09-21 02:59:11.35+02;1086000;25;2015-09-21 02:59:11.492875+02;2015-09-21 02:59:11.492907+02
83170278;2015-09-21 02:59:19.511+02;24000;31;2015-09-21 02:59:19.602056+02;2015-09-21 02:59:19.602086+02
83170277;2015-09-21 02:59:19.511+02;30252000;30;2015-09-21 02:59:19.561379+02;2015-09-21 02:59:19.56141+02
83170298;2015-09-21 02:59:31.347+02;1085000;25;2015-09-21 02:59:31.423351+02;2015-09-21 02:59:31.423401+02
83170305;2015-09-21 02:59:39.506+02;24000;31;2015-09-21 02:59:39.591301+02;2015-09-21 02:59:39.591333+02
83170327;2015-09-21 02:59:51.024+02;7000;29;2015-09-21 02:59:51.11299+02;2015-09-21 02:59:51.113021+02
83170326;2015-09-21 02:59:51.024+02;137516000;28;2015-09-21 02:59:51.068503+02;2015-09-21 02:59:51.068535+02
83170329;2015-09-21 02:59:51.354+02;46428946000;24;2015-09-21 02:59:51.393832+02;2015-09-21 02:59:51.393895+02
83170343;2015-09-21 02:59:59.513+02;24000;31;2015-09-21 02:59:59.582171+02;2015-09-21 02:59:59.582203+02
